Rank,Id,Pokemon,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary,Usage%,Raw,Raw%,Real,Real%,Date
26  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  6.07989% , 5209   ,  6.250% , 4097   ,  6.108% , 2021/06
27  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.72641% , 4670   ,  5.604% , 3760   ,  5.606% , 2021/06
28  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  5.23829% , 3801   ,  4.561% , 3006   ,  4.482% , 2021/06
29  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  4.69348% , 4652   ,  5.582% , 3728   ,  5.558% , 2021/06
30  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  4.66291% , 3553   ,  4.263% , 2101   ,  3.132% , 2021/06
31  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  4.59480% , 4623   ,  5.547% , 4111   ,  6.129% , 2021/06
32  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  4.52943% , 3649   ,  4.378% , 2865   ,  4.271% , 2021/06
33  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  4.02676% , 4254   ,  5.104% , 3203   ,  4.775% , 2021/06
34  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  3.84280% , 2941   ,  3.529% , 2308   ,  3.441% , 2021/06
35  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.82641% , 2892   ,  3.470% , 2490   ,  3.712% , 2021/06
36  , 3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False           ,  3.53116% , 3530   ,  4.236% , 2892   ,  4.312% , 2021/06
37  , 254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False           ,  3.14410% , 3308   ,  3.969% , 2625   ,  3.914% , 2021/06
38  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  3.10699% , 2976   ,  3.571% , 2426   ,  3.617% , 2021/06
39  , 124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False               ,  2.98566% , 2088   ,  2.505% , 1730   ,  2.579% , 2021/06
40  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  2.70408% , 2800   ,  3.360% , 2099   ,  3.129% , 2021/06
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 49.69963% , 36366  , 44.184% , 31044  , 46.529% , 2021/05
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.65732% , 29121  , 35.381% , 23776  , 35.636% , 2021/05
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 31.97695% , 25370  , 30.824% , 20656  , 30.959% , 2021/05
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 30.93084% , 25004  , 30.379% , 20161  , 30.217% , 2021/05
5   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 29.81004% , 23253  , 28.252% , 21291  , 31.911% , 2021/05
6   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 29.63913% , 24249  , 29.462% , 19804  , 29.682% , 2021/05
7   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 24.57071% , 18820  , 22.866% , 15461  , 23.173% , 2021/05
8   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 23.55599% , 17398  , 21.138% , 15728  , 23.573% , 2021/05
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 20.76819% , 17558  , 21.333% , 14479  , 21.701% , 2021/05
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 20.71583% , 16572  , 20.135% , 13870  , 20.788% , 2021/05
11  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 20.51419% , 15785  , 19.178% , 11568  , 17.338% , 2021/05
12  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 17.97944% , 14179  , 17.227% , 10385  , 15.565% , 2021/05
13  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 17.50530% , 13964  , 16.966% , 10424  , 15.624% , 2021/05
14  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 16.64883% , 13093  , 15.908% , 10452  , 15.666% , 2021/05
15  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 16.27940% , 12646  , 15.365% , 10701  , 16.039% , 2021/05
16  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 15.87147% , 11826  , 14.368% , 9636   , 14.442% , 2021/05
17  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.46668% , 8717   , 10.591% , 7168   , 10.743% , 2021/05
18  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.42912% , 8706   , 10.578% , 6487   ,  9.723% , 2021/05
19  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  9.49975% , 7886   ,  9.581% , 6359   ,  9.531% , 2021/05
20  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  9.24105% , 6995   ,  8.499% , 5777   ,  8.659% , 2021/05
21  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  9.00745% , 7510   ,  9.124% , 6578   ,  9.859% , 2021/05
22  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            ,  8.29483% , 7574   ,  9.202% , 6201   ,  9.294% , 2021/05
23  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.70648% , 6835   ,  8.304% , 5527   ,  8.284% , 2021/05
24  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  6.85598% , 5812   ,  7.061% , 4763   ,  7.139% , 2021/05
25  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  6.43720% , 5189   ,  6.305% , 4204   ,  6.301% , 2021/05
26  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.98069% , 4833   ,  5.872% , 3868   ,  5.797% , 2021/05
27  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  4.89512% , 4903   ,  5.957% , 4418   ,  6.622% , 2021/05
28  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  4.60213% , 3912   ,  4.753% , 3448   ,  5.168% , 2021/05
29  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  4.15230% , 3154   ,  3.832% , 2176   ,  3.261% , 2021/05
30  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  3.91946% , 3983   ,  4.839% , 3243   ,  4.861% , 2021/05
31  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.75955% , 3230   ,  3.924% , 2448   ,  3.669% , 2021/05
32  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  3.67096% , 2893   ,  3.515% , 2467   ,  3.698% , 2021/05
33  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  3.33768% , 2854   ,  3.468% , 2109   ,  3.161% , 2021/05
34  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  3.33466% , 2643   ,  3.211% , 2351   ,  3.524% , 2021/05
35  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  3.31570% , 2678   ,  3.254% , 2016   ,  3.022% , 2021/05
36  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.19986% , 2459   ,  2.988% , 2011   ,  3.014% , 2021/05
37  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.14096% , 3225   ,  3.918% , 2354   ,  3.528% , 2021/05
38  , 254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False           ,  3.08863% , 3452   ,  4.194% , 2672   ,  4.005% , 2021/05
39  , 272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False           ,  3.08043% , 2637   ,  3.204% , 2174   ,  3.258% , 2021/05
40  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  2.86899% , 2684   ,  3.261% , 2155   ,  3.230% , 2021/05
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 49.94025% , 35043  , 43.793% , 29578  , 45.904% , 2021/04
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 39.02048% , 28989  , 36.227% , 23632  , 36.676% , 2021/04
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 34.13809% , 26381  , 32.968% , 21572  , 33.479% , 2021/04
4   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 31.67762% , 23530  , 29.405% , 21378  , 33.178% , 2021/04
5   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 31.16998% , 25341  , 31.668% , 20110  , 31.210% , 2021/04
6   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 29.80725% , 23022  , 28.770% , 18665  , 28.968% , 2021/04
7   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 25.50259% , 19644  , 24.549% , 16067  , 24.936% , 2021/04
8   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 24.08789% , 17167  , 21.453% , 15331  , 23.793% , 2021/04
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 23.62538% , 18256  , 22.814% , 14992  , 23.267% , 2021/04
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 21.28495% , 17010  , 21.257% , 14006  , 21.737% , 2021/04
11  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 18.09097% , 13156  , 16.441% , 10986  , 17.050% , 2021/04
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 17.30102% , 12879  , 16.095% , 9527   , 14.786% , 2021/04
13  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 17.18042% , 12986  , 16.228% , 9534   , 14.796% , 2021/04
14  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 16.35235% , 12604  , 15.751% , 9355   , 14.519% , 2021/04
15  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 13.95776% , 9995   , 12.491% , 7887   , 12.240% , 2021/04
16  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 13.92093% , 10725  , 13.403% , 8501   , 13.193% , 2021/04
17  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.90888% , 8573   , 10.714% , 6418   ,  9.961% , 2021/04
18  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            , 10.51836% , 9116   , 11.392% , 7337   , 11.387% , 2021/04
19  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.33353% , 8602   , 10.750% , 6834   , 10.606% , 2021/04
20  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  9.64731% , 6878   ,  8.595% , 5555   ,  8.621% , 2021/04
21  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  8.21146% , 6657   ,  8.319% , 5940   ,  9.219% , 2021/04
22  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.87262% , 6702   ,  8.375% , 5191   ,  8.056% , 2021/04
23  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  7.27429% , 6335   ,  7.917% , 5101   ,  7.917% , 2021/04
24  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  6.82943% , 5578   ,  6.971% , 4374   ,  6.788% , 2021/04
25  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  5.63735% , 4495   ,  5.617% , 3916   ,  6.078% , 2021/04
26  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.41531% , 4210   ,  5.261% , 3409   ,  5.291% , 2021/04
27  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  5.21327% , 4672   ,  5.839% , 3805   ,  5.905% , 2021/04
28  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  4.64431% , 4207   ,  5.257% , 3301   ,  5.123% , 2021/04
29  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  4.18542% , 4402   ,  5.501% , 4083   ,  6.337% , 2021/04
30  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  3.42659% , 2969   ,  3.710% , 2468   ,  3.830% , 2021/04
31  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.41097% , 2575   ,  3.218% , 2179   ,  3.382% , 2021/04
32  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  3.33771% , 2488   ,  3.109% , 2114   ,  3.281% , 2021/04
33  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.28970% , 3489   ,  4.360% , 2586   ,  4.013% , 2021/04
34  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  3.26341% , 2524   ,  3.154% , 1854   ,  2.877% , 2021/04
35  , 110,Weezing,Poison,,490,65,90,120,85,70,60,1,False            ,  3.24689% , 2759   ,  3.448% , 2088   ,  3.241% , 2021/04
36  , 254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False           ,  3.21288% , 3093   ,  3.865% , 2397   ,  3.720% , 2021/04
37  , 378,Regice,Ice,,580,80,50,100,100,200,50,3,True             ,  3.09125% , 2148   ,  2.684% , 1784   ,  2.769% , 2021/04
38  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  3.06574% , 3064   ,  3.829% , 2516   ,  3.905% , 2021/04
39  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  2.79034% , 2606   ,  3.257% , 1998   ,  3.101% , 2021/04
40  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  2.64203% , 2198   ,  2.747% , 1544   ,  2.396% , 2021/04
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 49.85669% , 39811  , 45.098% , 33145  , 46.621% , 2021/03
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.71674% , 31675  , 35.882% , 25365  , 35.678% , 2021/03
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 34.61312% , 29198  , 33.076% , 23580  , 33.167% , 2021/03
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 32.55670% , 28359  , 32.125% , 22602  , 31.792% , 2021/03
5   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 30.24432% , 25022  , 28.345% , 22839  , 32.125% , 2021/03
6   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 29.23791% , 25218  , 28.567% , 20580  , 28.947% , 2021/03
7   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 24.42325% , 20156  , 22.833% , 16658  , 23.431% , 2021/03
8   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 23.83796% , 19000  , 21.523% , 17129  , 24.093% , 2021/03
9   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 23.50190% , 20014  , 22.672% , 16170  , 22.744% , 2021/03
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 21.76891% , 18224  , 20.644% , 15184  , 21.358% , 2021/03
11  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 18.13545% , 15215  , 17.236% , 11238  , 15.807% , 2021/03
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 17.38370% , 14452  , 16.371% , 10349  , 14.557% , 2021/03
13  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 15.82251% , 12542  , 14.208% , 10549  , 14.838% , 2021/03
14  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 14.82041% , 12526  , 14.190% , 9788   , 13.768% , 2021/03
15  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 14.43507% , 12689  , 14.374% , 9515   , 13.384% , 2021/03
16  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 13.70877% , 10866  , 12.309% , 8486   , 11.936% , 2021/03
17  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            , 10.50251% , 9810   , 11.113% , 7952   , 11.185% , 2021/03
18  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.12412% , 9601   , 10.876% , 7606   , 10.698% , 2021/03
19  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          ,  9.98265% , 9336   , 10.576% , 7029   ,  9.887% , 2021/03
20  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  9.63665% , 7740   ,  8.768% , 6185   ,  8.700% , 2021/03
21  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  8.43335% , 7359   ,  8.336% , 6661   ,  9.369% , 2021/03
22  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.82743% , 7201   ,  8.157% , 5829   ,  8.199% , 2021/03
23  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  7.07429% , 6479   ,  7.339% , 5166   ,  7.266% , 2021/03
24  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  6.37663% , 5372   ,  6.085% , 4338   ,  6.102% , 2021/03
25  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  6.30718% , 5870   ,  6.650% , 4674   ,  6.574% , 2021/03
26  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  6.02338% , 5208   ,  5.900% , 4541   ,  6.387% , 2021/03
27  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  5.42491% , 5939   ,  6.728% , 5333   ,  7.501% , 2021/03
28  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  4.69853% , 4540   ,  5.143% , 3658   ,  5.145% , 2021/03
29  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  4.65113% , 4772   ,  5.406% , 3734   ,  5.252% , 2021/03
30  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  4.18895% , 3811   ,  4.317% , 3130   ,  4.403% , 2021/03
31  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  4.03636% , 3421   ,  3.875% , 2651   ,  3.729% , 2021/03
32  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.85991% , 3271   ,  3.705% , 2701   ,  3.799% , 2021/03
33  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.74096% , 4061   ,  4.600% , 3134   ,  4.408% , 2021/03
34  , 3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False           ,  3.35700% , 3252   ,  3.684% , 2673   ,  3.760% , 2021/03
35  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  3.04228% , 2575   ,  2.917% , 2202   ,  3.097% , 2021/03
36  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  3.04128% , 2786   ,  3.156% , 1956   ,  2.751% , 2021/03
37  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.00358% , 2780   ,  3.149% , 2176   ,  3.061% , 2021/03
38  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  2.92527% , 2516   ,  2.850% , 1933   ,  2.719% , 2021/03
39  , 254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False           ,  2.79365% , 3303   ,  3.742% , 2616   ,  3.680% , 2021/03
40  , 149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False          ,  2.58680% , 2635   ,  2.985% , 2057   ,  2.893% , 2021/03
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 50.40945% , 33644  , 44.828% , 28375  , 46.189% , 2021/02
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.53428% , 27112  , 36.124% , 22085  , 35.950% , 2021/02
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 36.02505% , 24964  , 33.262% , 20682  , 33.666% , 2021/02
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 31.66443% , 23272  , 31.008% , 18592  , 30.264% , 2021/02
5   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 29.75206% , 20957  , 27.923% , 19221  , 31.288% , 2021/02
6   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 28.11328% , 18558  , 24.727% , 17010  , 27.689% , 2021/02
7   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 25.80185% , 19496  , 25.977% , 15951  , 25.965% , 2021/02
8   , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 24.28037% , 17029  , 22.690% , 14405  , 23.449% , 2021/02
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 24.02101% , 16579  , 22.090% , 14062  , 22.890% , 2021/02
10  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 23.17066% , 15902  , 21.188% , 11977  , 19.496% , 2021/02
11  , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 21.85924% , 15935  , 21.232% , 13396  , 21.806% , 2021/02
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 16.43793% , 11811  , 15.737% , 8673   , 14.118% , 2021/02
13  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 15.51266% , 10788  , 14.374% , 9080   , 14.781% , 2021/02
14  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 15.23021% , 11379  , 15.161% , 8689   , 14.144% , 2021/02
15  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 14.89672% , 10412  , 13.873% , 8255   , 13.438% , 2021/02
16  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 14.72031% , 9929   , 13.229% , 7787   , 12.676% , 2021/02
17  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         , 10.61049% , 7607   , 10.136% , 6906   , 11.242% , 2021/02
18  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            , 10.46659% , 7289   ,  9.712% , 5900   ,  9.604% , 2021/02
19  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.17691% , 8299   , 11.058% , 6380   , 10.385% , 2021/02
20  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            ,  9.07377% , 7232   ,  9.636% , 5967   ,  9.713% , 2021/02
21  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  7.92545% , 5462   ,  7.278% , 4449   ,  7.242% , 2021/02
22  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.66540% , 6126   ,  8.162% , 4976   ,  8.100% , 2021/02
23  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  7.18170% , 5417   ,  7.218% , 4676   ,  7.612% , 2021/02
24  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            ,  6.99100% , 5427   ,  7.231% , 4395   ,  7.154% , 2021/02
25  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  6.65724% , 5114   ,  6.814% , 4096   ,  6.668% , 2021/02
26  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  6.57953% , 5111   ,  6.810% , 4127   ,  6.718% , 2021/02
27  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  4.55796% , 3516   ,  4.685% , 2715   ,  4.420% , 2021/02
28  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  4.51873% , 3786   ,  5.045% , 3035   ,  4.940% , 2021/02
29  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  4.41231% , 4128   ,  5.500% , 3433   ,  5.588% , 2021/02
30  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  3.92238% , 3952   ,  5.266% , 3633   ,  5.914% , 2021/02
31  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.52066% , 2492   ,  3.320% , 2130   ,  3.467% , 2021/02
32  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.43584% , 2739   ,  3.649% , 2151   ,  3.501% , 2021/02
33  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.14662% , 3305   ,  4.404% , 2479   ,  4.035% , 2021/02
34  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  3.12082% , 2259   ,  3.010% , 1753   ,  2.854% , 2021/02
35  , 308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False           ,  3.04898% , 2198   ,  2.929% , 1774   ,  2.888% , 2021/02
36  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  2.88932% , 2106   ,  2.806% , 1790   ,  2.914% , 2021/02
37  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  2.84825% , 2309   ,  3.077% , 1873   ,  3.049% , 2021/02
38  , 378,Regice,Ice,,580,80,50,100,100,200,50,3,True             ,  2.73101% , 2083   ,  2.775% , 1699   ,  2.766% , 2021/02
39  , 3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False           ,  2.53391% , 2434   ,  3.243% , 2067   ,  3.365% , 2021/02
40  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  2.38619% , 2169   ,  2.890% , 1825   ,  2.971% , 2021/02
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 50.24117% , 35043  , 44.246% , 29788  , 46.356% , 2021/01
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.52569% , 28641  , 36.163% , 23157  , 36.037% , 2021/01
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 36.06489% , 26502  , 33.462% , 21670  , 33.723% , 2021/01
4   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 31.62234% , 23117  , 29.188% , 21205  , 32.999% , 2021/01
5   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 28.14008% , 22403  , 28.287% , 17725  , 27.583% , 2021/01
6   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 27.84582% , 21670  , 27.361% , 17901  , 27.857% , 2021/01
7   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 27.67525% , 19267  , 24.327% , 17404  , 27.084% , 2021/01
8   , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 26.13564% , 18608  , 23.495% , 15689  , 24.415% , 2021/01
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 23.10474% , 16880  , 21.313% , 14160  , 22.036% , 2021/01
10  , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 22.01765% , 16754  , 21.154% , 13854  , 21.559% , 2021/01
11  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 21.69101% , 16271  , 20.544% , 12031  , 18.722% , 2021/01
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 19.02492% , 14377  , 18.153% , 10278  , 15.994% , 2021/01
